package,mentions,classification,has_console_classifier,vuln_count,max_severity,advisory_ids,summary
scapy,4,cli,True,3,HIGH,"GHSA-cq46-m9x9-j8w2,GHSA-mpf2-q34c-fc6j,PYSEC-2019-120",Scapy Session Loading Vulnerable to Arbitrary Code Execution via Untrusted Pickle Deserialization; Infinite Loop in scapy; 
pyright,4,likely-cli (no console classifier found),False,0,,,
bandit,4,cli,True,0,,,
machina-cli,4,cli,True,0,,,
radon,4,cli,True,0,,,
pbi-cli-tool,4,cli,True,0,,,
notebooklm-mcp-cli,4,cli,True,0,,,
veris-cli,3,likely-cli (no console classifier found),False,0,,,
tavily-cli,3,likely-cli (no console classifier found),False,0,,,
deepchem,3,cli,True,0,,,
streamlit,3,cli,True,11,MODERATE,"GHSA-7p48-42j8-8846,GHSA-8qw9-gf7w-42x5,GHSA-9c6g-qpgj-rvxw,GHSA-rxff-vr5r-8cj5,GHSA-v4hr-4jpx-56gc,GHSA-vqwp-45wm-r9r5,PYSEC-2022-248,PYSEC-2023-50,PYSEC-2024-153,PYSEC-2026-212,PYSEC-2026-2285",Unauthenticated SSRF Vulnerability in Streamlit on Windows (NTLM Credential Exposure); Minor fix to previous patch for CVE-2022-35918; Streamlit publishes previously-patched Cross-site Scripting vulnerability
trafilatura,3,cli,True,0,,,
holoscan,3,cli,True,0,,,
mem0-cli,3,cli,True,0,,,
pymupdf4llm,3,cli,True,0,,,
clawteam,3,likely-cli (no console classifier found),False,0,,,
mypy,3,cli,True,0,,,
baostock,3,cli,True,0,,,
birdrecord-cli,3,cli,True,0,,,
vulture,3,cli,True,0,,,
deepctl,3,likely-cli (no console classifier found),False,0,,,
freqtrade,3,cli,True,0,,,
ouroboros-ai,3,likely-cli (no console classifier found),False,3,HIGH,"GHSA-c4m7-2gwp-vw76,GHSA-jv2h-4p9v-wf5w,PYSEC-2026-2857",ouroboros-ai Vulnerable to Remote Code Execution via Untrusted Project-Directory .env; ouroboros-ai: Incomplete fix of CVE-2026-47211: untrusted project .env can still reach RCE via omitt; ouroboros-ai Vulnerable to Remote Code Execution via Untrusted Project-Directory .env
spark-history-cli,3,likely-cli (no console classifier found),False,0,,,
dekart,2,likely-cli (no console classifier found),False,0,,,
squidpy,2,cli,True,0,,,
fastreer,2,likely-cli (no console classifier found),False,0,,,
ssw-py,2,cli,True,0,,,
meeko,2,cli,True,0,,,
bokeh,2,cli,True,2,MODERATE,"GHSA-793v-589g-574v,PYSEC-2026-1223",Bokeh server applications have Incomplete Origin Validation in WebSockets; Bokeh server applications have Incomplete Origin Validation in WebSockets
jupytext,2,cli,True,0,,,
kube-hunter,2,cli,True,0,,,
package,2,cli,True,0,,,
pbir-cli,2,likely-cli (no console classifier found),False,0,,,
oci-cli,2,cli,True,0,,,
hashid,2,cli,True,0,,,
tqdm,2,cli,True,4,HIGH,"GHSA-g7vv-2v7x-gj9p,GHSA-r7q7-xcjw-qx8q,PYSEC-2017-74,PYSEC-2026-1976",tqdm CLI arguments injection attack; TDQM Arbitrary Code Execution; 
snowflake-connector-python,2,cli,True,12,HIGH,"GHSA-2vpq-fh52-j3wv,GHSA-4r6j-fwcx-94cf,GHSA-5vvg-pvhp-hv2m,GHSA-5w5m-pfw9-c8fp,GHSA-m4f6-vcj4-w5mx,GHSA-r2x6-cjg7-8r43,PYSEC-2023-88,PYSEC-2024-191,PYSEC-2025-26,PYSEC-2025-27,PYSEC-2025-28,PYSEC-2026-922",snowflake-connector-python vulnerable to SQL Injection in write_pandas; snowflake-connector-python is vulnerable to Regular Expression Denial of Service (ReDoS); The Snowflake Connector for Python stores sensitive data in logs
git-review,2,cli,True,0,,,
behave,2,cli,True,0,,,
mbake,2,cli,True,0,,,
opendataloader-pdf,2,likely-cli (no console classifier found),False,0,,,
dissect.cobaltstrike,2,cli,True,0,,,
sigma-cli,2,likely-cli (no console classifier found),False,0,,,
python-gvm,2,cli,True,0,,,
shodan,2,likely-cli (no console classifier found),False,0,,,
corscanner,2,cli,True,0,,,
vastai,2,likely-cli (no console classifier found),False,0,,,
acryl-datahub,2,cli,True,2,CRITICAL,"GHSA-r8gm-v65f-c973,PYSEC-2026-252",acryl-datahub missing JWT signature check; acryl-datahub missing JWT signature check
ropper,2,cli,True,0,,,
lancedb,2,cli,True,0,,,
parallel-web-tools,2,likely-cli (no console classifier found),False,0,,,
meta-ads,2,cli,True,0,,,
gallery-dl,2,cli,True,0,,,
repowise,2,cli,True,0,,,
opencv-python-headless,2,cli,True,20,HIGH,"GHSA-3448-vrgh-85xr,GHSA-8849-5h85-98qw,GHSA-fm39-cw8h-3p63,GHSA-fw99-f933-rgh8,GHSA-hxfw-jm98-v4mq,GHSA-jggw-2q6g-c3m6,GHSA-jh2j-j4j9-crg3,GHSA-m6vm-8g8v-xfjh,GHSA-q799-q27x-vp7w,GHSA-x3rm-644h-67m8,PYSEC-2023-184,PYSEC-2026-2834,PYSEC-2026-2835,PYSEC-2026-2836,PYSEC-2026-2837,PYSEC-2026-2838,PYSEC-2026-2839,PYSEC-2026-2840,PYSEC-2026-2841,PYSEC-2026-2842",NULL Pointer Dereference in OpenCV.; Out-of-bounds Write in OpenCV; Out-of-bounds Read in OpenCV
black,2,cli,True,5,HIGH,"GHSA-3936-cmfr-pm3m,GHSA-fj7x-q9j7-g6q6,PYSEC-2024-48,PYSEC-2026-2120,PYSEC-2026-2121",Black: Arbitrary file writes from unsanitized user input in cache file name; Black vulnerable to Regular Expression Denial of Service (ReDoS); 
python-can,2,cli,True,0,,,
wren-engine,2,likely-cli (no console classifier found),False,0,,,
redis,2,cli,True,4,HIGH,"GHSA-24wv-mv5m-xv4h,GHSA-8fww-64cx-x8p5,PYSEC-2023-45,PYSEC-2023-46",redis-py Race Condition vulnerability; redis-py Race Condition due to incomplete fix; 
atlassian-python-api,2,cli,True,0,,,
tmuxx,2,cli,True,0,,,
openniw,2,cli,True,0,,,
textual,2,cli,True,0,,,
nitro-cli,2,likely-cli (no console classifier found),False,0,,,
hcom,2,cli,True,0,,,
cli-anything-hub,1,cli,True,0,,,
mad,1,cli,True,0,,,
kb-python,1,cli,True,0,,,
lobster-ai,1,cli,True,0,,,
wheel,1,likely-cli (no console classifier found),False,4,HIGH,"GHSA-8rrh-rw8j-w5fx,GHSA-qwmp-2cf2-g9g6,PYSEC-2022-43017,PYSEC-2026-2047",Wheel Affected by Arbitrary File Permission Modification via Path Traversal in wheel unpack; pypa/wheel vulnerable to Regular Expression denial of service (ReDoS); 
pyreadstat,1,cli,True,0,,,
browser-harness,1,cli,True,0,,,
pdf2image,1,likely-cli (no console classifier found),False,0,,,
